"isbn","title","quantity","publisher","createdAt","updatedAt","coverUrl","description"
"9780307885159",A short history of nearly everything,1,,"2024-04-13 19:16:09","2024-04-13 19:17:24",https://covers.openlibrary.org/b/isbn/9780307885159-L.jpg,
"9780316029186",The Last Wish,1,,"2024-04-13 19:16:09","2024-04-13 19:17:24",https://covers.openlibrary.org/b/isbn/9780316029186-L.jpg,
"9780425046876",Dune,1,,"2024-04-13 19:16:09","2024-04-13 19:17:24",https://covers.openlibrary.org/b/isbn/9780425046876-L.jpg,
"9787508630069",Steve Jobs: A Biography,1,,"2024-04-13 19:16:09","2024-04-13 19:17:24",https://covers.openlibrary.org/b/isbn/9787508630069-L.jpg,
